pokemon,ability,is_hidden,slot,description
hariyama,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
azurill,Thick Fat,No,1,Halves damage from fire and ice moves.
azurill,Huge Power,No,2,Doubles Attack in battle.
azurill,Sap Sipper,Yes,3,"Absorbs grass moves, raising Attack one stage."
nosepass,Sturdy,No,1,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
nosepass,Magnet Pull,No,2,Prevents steel opponents from fleeing or switching out.
nosepass,Sand Force,Yes,3,"Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
skitty,Cute Charm,No,1,Has a 30% chance of infatuating attacking Pokémon on contact.
skitty,Normalize,No,2,Makes the Pokémon's moves all act normal-type.
skitty,Wonder Skin,Yes,3,Lowers incoming non-damaging moves' base accuracy to exactly 50%.
delcatty,Cute Charm,No,1,Has a 30% chance of infatuating attacking Pokémon on contact.
delcatty,Normalize,No,2,Makes the Pokémon's moves all act normal-type.
delcatty,Wonder Skin,Yes,3,Lowers incoming non-damaging moves' base accuracy to exactly 50%.
sableye,Keen Eye,No,1,Prevents accuracy from being lowered.
sableye,Stall,No,2,Makes the Pokémon move last within its move's priority bracket.
sableye,Prankster,Yes,3,Raises non-damaging moves' priority by one stage.
mawile,Hyper Cutter,No,1,Prevents Attack from being lowered by other Pokémon.
mawile,Intimidate,No,2,Lowers opponents' Attack one stage upon entering battle.
mawile,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
aron,Sturdy,No,1,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
aron,Rock Head,No,2,Protects against recoil damage.
aron,Heavy Metal,Yes,3,Doubles the Pokémon's weight.
lairon,Sturdy,No,1,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
lairon,Rock Head,No,2,Protects against recoil damage.
lairon,Heavy Metal,Yes,3,Doubles the Pokémon's weight.
aggron,Sturdy,No,1,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
aggron,Rock Head,No,2,Protects against recoil damage.
aggron,Heavy Metal,Yes,3,Doubles the Pokémon's weight.
meditite,Pure Power,No,1,Doubles Attack in battle.
meditite,Telepathy,Yes,3,Protects against friendly Pokémon's damaging moves.
medicham,Pure Power,No,1,Doubles Attack in battle.
medicham,Telepathy,Yes,3,Protects against friendly Pokémon's damaging moves.
electrike,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
electrike,Lightning Rod,No,2,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
electrike,Minus,Yes,3,Increases Special Attack to 1.5× when a friendly Pokémon has plus or minus.
manectric,Static,No,1,Has a 30% chance of paralyzing attacking Pokémon on contact.
manectric,Lightning Rod,No,2,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
manectric,Minus,Yes,3,Increases Special Attack to 1.5× when a friendly Pokémon has plus or minus.
plusle,Plus,No,1,Increases Special Attack to 1.5× when a friendly Pokémon has plus or minus.
plusle,Lightning Rod,Yes,3,"Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
minun,Minus,No,1,Increases Special Attack to 1.5× when a friendly Pokémon has plus or minus.
minun,Volt Absorb,Yes,3,"Absorbs electric moves, healing for 1/4 max HP."
volbeat,Illuminate,No,1,Doubles the wild encounter rate.
volbeat,Swarm,No,2,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.
volbeat,Prankster,Yes,3,Raises non-damaging moves' priority by one stage.
illumise,Oblivious,No,1,Prevents infatuation and protects against captivate.
illumise,Tinted Lens,No,2,Doubles damage inflicted with not-very-effective moves.
illumise,Prankster,Yes,3,Raises non-damaging moves' priority by one stage.
roselia,Natural Cure,No,1,Cures any major status ailment upon switching out.
roselia,Poison Point,No,2,Has a 30% chance of poisoning attacking Pokémon on contact.
roselia,Leaf Guard,Yes,3,Protects against major status ailments during strong sunlight.
gulpin,Liquid Ooze,No,1,Damages opponents using leeching moves for as much as they would heal.
gulpin,Sticky Hold,No,2,Prevents a held item from being removed by other Pokémon.
gulpin,Gluttony,Yes,3,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
swalot,Liquid Ooze,No,1,Damages opponents using leeching moves for as much as they would heal.
swalot,Sticky Hold,No,2,Prevents a held item from being removed by other Pokémon.
swalot,Gluttony,Yes,3,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
carvanha,Rough Skin,No,1,Damages attacking Pokémon for 1/8 their max HP on contact.
carvanha,Speed Boost,Yes,3,Raises Speed one stage after each turn.
sharpedo,Rough Skin,No,1,Damages attacking Pokémon for 1/8 their max HP on contact.
sharpedo,Speed Boost,Yes,3,Raises Speed one stage after each turn.
wailmer,Water Veil,No,1,Prevents burns.
wailmer,Oblivious,No,2,Prevents infatuation and protects against captivate.
wailmer,Pressure,Yes,3,Increases the PP cost of moves targetting the Pokémon by one.
wailord,Water Veil,No,1,Prevents burns.
wailord,Oblivious,No,2,Prevents infatuation and protects against captivate.
wailord,Pressure,Yes,3,Increases the PP cost of moves targetting the Pokémon by one.
numel,Oblivious,No,1,Prevents infatuation and protects against captivate.
numel,Simple,No,2,Doubles the Pokémon's stat modifiers.  These doubled modifiers are still capped at -6 or 6 stages.
numel,Own Tempo,Yes,3,Prevents confusion.
camerupt,Magma Armor,No,1,Prevents freezing.
camerupt,Solid Rock,No,2,Decreases damage taken from super-effective moves by 1/4.
camerupt,Anger Point,Yes,3,Raises Attack to the maximum of six stages upon receiving a critical hit.
torkoal,White Smoke,No,1,Prevents stats from being lowered by other Pokémon.
torkoal,Drought,No,2,Summons strong sunlight that lasts indefinitely upon entering battle.
torkoal,Shell Armor,Yes,3,Protects against critical hits.
spoink,Thick Fat,No,1,Halves damage from fire and ice moves.
spoink,Own Tempo,No,2,Prevents confusion.
spoink,Gluttony,Yes,3,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
grumpig,Thick Fat,No,1,Halves damage from fire and ice moves.
grumpig,Own Tempo,No,2,Prevents confusion.
grumpig,Gluttony,Yes,3,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
spinda,Own Tempo,No,1,Prevents confusion.
spinda,Tangled Feet,No,2,Doubles evasion when confused.
spinda,Contrary,Yes,3,Inverts stat changes.
trapinch,Hyper Cutter,No,1,Prevents Attack from being lowered by other Pokémon.
trapinch,Arena Trap,No,2,Prevents opponents from fleeing or switching out.  Eluded by flying-types and Pokémon in the air.
trapinch,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
vibrava,Levitate,No,1,Evades ground moves.
flygon,Levitate,No,1,Evades ground moves.
cacnea,Sand Veil,No,1,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
cacnea,Water Absorb,Yes,3,"Absorbs water moves, healing for 1/4 max HP."
cacturne,Sand Veil,No,1,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
cacturne,Water Absorb,Yes,3,"Absorbs water moves, healing for 1/4 max HP."
swablu,Natural Cure,No,1,Cures any major status ailment upon switching out.
swablu,Cloud Nine,Yes,3,"Negates all effects of weather, but does not prevent the weather itself."
altaria,Natural Cure,No,1,Cures any major status ailment upon switching out.
altaria,Cloud Nine,Yes,3,"Negates all effects of weather, but does not prevent the weather itself."
zangoose,Immunity,No,1,Prevents poison.
zangoose,Toxic Boost,Yes,3,Increases Attack to 1.5× when poisoned.
seviper,Shed Skin,No,1,Has a 33% chance of curing any major status ailment after each turn.
seviper,Infiltrator,Yes,3,"Bypasses light screen, reflect, and safeguard."
lunatone,Levitate,No,1,Evades ground moves.
solrock,Levitate,No,1,Evades ground moves.
barboach,Oblivious,No,1,Prevents infatuation and protects against captivate.
barboach,Anticipation,No,2,"Notifies all trainers upon entering battle if an opponent has a super-effective move, self destruct, explosion, or a one-hit KO move."
barboach,Hydration,Yes,3,Cures any major status ailment after each turn during rain.
whiscash,Oblivious,No,1,Prevents infatuation and protects against captivate.
whiscash,Anticipation,No,2,"Notifies all trainers upon entering battle if an opponent has a super-effective move, self destruct, explosion, or a one-hit KO move."
whiscash,Hydration,Yes,3,Cures any major status ailment after each turn during rain.
corphish,Hyper Cutter,No,1,Prevents Attack from being lowered by other Pokémon.
corphish,Shell Armor,No,2,Protects against critical hits.
corphish,Adaptability,Yes,3,Increases the same-type attack bonus from 1.5× to 2×.
crawdaunt,Hyper Cutter,No,1,Prevents Attack from being lowered by other Pokémon.
crawdaunt,Shell Armor,No,2,Protects against critical hits.
crawdaunt,Adaptability,Yes,3,Increases the same-type attack bonus from 1.5× to 2×.
baltoy,Levitate,No,1,Evades ground moves.
claydol,Levitate,No,1,Evades ground moves.
lileep,Suction Cups,No,1,Prevents being forced out of battle by other Pokémon's moves.
lileep,Storm Drain,Yes,3,"Redirects single-target water moves to this Pokémon where possible.  Absorbs Water moves, raising Special Attack one stage."
cradily,Suction Cups,No,1,Prevents being forced out of battle by other Pokémon's moves.
cradily,Storm Drain,Yes,3,"Redirects single-target water moves to this Pokémon where possible.  Absorbs Water moves, raising Special Attack one stage."
anorith,Battle Armor,No,1,Protects against critical hits.
anorith,Swift Swim,Yes,3,Doubles Speed during rain.
armaldo,Battle Armor,No,1,Protects against critical hits.
armaldo,Swift Swim,Yes,3,Doubles Speed during rain.
feebas,Swift Swim,No,1,Doubles Speed during rain.
feebas,Oblivious,No,2,Prevents infatuation and protects against captivate.
feebas,Adaptability,Yes,3,Increases the same-type attack bonus from 1.5× to 2×.
milotic,Marvel Scale,No,1,Increases Defense to 1.5× with a major status ailment.
milotic,Competitive,No,2,Raises Special Attack by two stages upon having any stat lowered.
milotic,Cute Charm,Yes,3,Has a 30% chance of infatuating attacking Pokémon on contact.
castform,Forecast,No,1,Changes castform's type and form to match the weather.
kecleon,Color Change,No,1,Changes type to match when hit by a damaging move.
kecleon,Protean,Yes,3,Changes the bearer's type to match each move it uses.
shuppet,Insomnia,No,1,Prevents sleep.
shuppet,Frisk,No,2,Reveals an opponent's held item upon entering battle.
shuppet,Cursed Body,Yes,3,Has a 30% chance of Disabling any move that hits the Pokémon.
banette,Insomnia,No,1,Prevents sleep.
banette,Frisk,No,2,Reveals an opponent's held item upon entering battle.
banette,Cursed Body,Yes,3,Has a 30% chance of Disabling any move that hits the Pokémon.
duskull,Levitate,No,1,Evades ground moves.
duskull,Frisk,Yes,3,Reveals an opponent's held item upon entering battle.
dusclops,Pressure,No,1,Increases the PP cost of moves targetting the Pokémon by one.
dusclops,Frisk,Yes,3,Reveals an opponent's held item upon entering battle.
tropius,Chlorophyll,No,1,Doubles Speed during strong sunlight.
tropius,Solar Power,No,2,Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.
tropius,Harvest,Yes,3,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.
chimecho,Levitate,No,1,Evades ground moves.
absol,Pressure,No,1,Increases the PP cost of moves targetting the Pokémon by one.
absol,Super Luck,No,2,Raises moves' critical hit rates one stage.
absol,Justified,Yes,3,Raises Attack one stage upon taking damage from a dark move.
wynaut,Shadow Tag,No,1,Prevents opponents from fleeing or switching out.
wynaut,Telepathy,Yes,3,Protects against friendly Pokémon's damaging moves.
snorunt,Inner Focus,No,1,Prevents flinching.
snorunt,Ice Body,No,2,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
snorunt,Moody,Yes,3,Raises a random stat two stages and lowers another one stage after each turn.
glalie,Inner Focus,No,1,Prevents flinching.
glalie,Ice Body,No,2,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
glalie,Moody,Yes,3,Raises a random stat two stages and lowers another one stage after each turn.
spheal,Thick Fat,No,1,Halves damage from fire and ice moves.
spheal,Ice Body,No,2,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
spheal,Oblivious,Yes,3,Prevents infatuation and protects against captivate.
sealeo,Thick Fat,No,1,Halves damage from fire and ice moves.
sealeo,Ice Body,No,2,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
sealeo,Oblivious,Yes,3,Prevents infatuation and protects against captivate.
walrein,Thick Fat,No,1,Halves damage from fire and ice moves.
walrein,Ice Body,No,2,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
walrein,Oblivious,Yes,3,Prevents infatuation and protects against captivate.
clamperl,Shell Armor,No,1,Protects against critical hits.
clamperl,Rattled,Yes,3,"Raises Speed one stage upon being hit by a dark, ghost, or bug move."
huntail,Swift Swim,No,1,Doubles Speed during rain.
huntail,Water Veil,Yes,3,Prevents burns.
gorebyss,Swift Swim,No,1,Doubles Speed during rain.
gorebyss,Hydration,Yes,3,Cures any major status ailment after each turn during rain.
relicanth,Swift Swim,No,1,Doubles Speed during rain.
relicanth,Rock Head,No,2,Protects against recoil damage.
relicanth,Sturdy,Yes,3,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
luvdisc,Swift Swim,No,1,Doubles Speed during rain.
luvdisc,Hydration,Yes,3,Cures any major status ailment after each turn during rain.
bagon,Rock Head,No,1,Protects against recoil damage.
bagon,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
shelgon,Rock Head,No,1,Protects against recoil damage.
shelgon,Overcoat,Yes,3,Protects against damage from weather.
salamence,Intimidate,No,1,Lowers opponents' Attack one stage upon entering battle.
salamence,Moxie,Yes,3,Raises Attack one stage upon KOing a Pokémon.
beldum,Clear Body,No,1,Prevents stats from being lowered by other Pokémon.
beldum,Light Metal,Yes,3,Halves the Pokémon's weight.
metang,Clear Body,No,1,Prevents stats from being lowered by other Pokémon.
metang,Light Metal,Yes,3,Halves the Pokémon's weight.
metagross,Clear Body,No,1,Prevents stats from being lowered by other Pokémon.
metagross,Light Metal,Yes,3,Halves the Pokémon's weight.
regirock,Clear Body,No,1,Prevents stats from being lowered by other Pokémon.
regirock,Sturdy,Yes,3,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
regice,Clear Body,No,1,Prevents stats from being lowered by other Pokémon.
regice,Ice Body,Yes,3,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
registeel,Clear Body,No,1,Prevents stats from being lowered by other Pokémon.
registeel,Light Metal,Yes,3,Halves the Pokémon's weight.
latias,Levitate,No,1,Evades ground moves.
latios,Levitate,No,1,Evades ground moves.
kyogre,Drizzle,No,1,Summons rain that lasts indefinitely upon entering battle.
groudon,Drought,No,1,Summons strong sunlight that lasts indefinitely upon entering battle.
rayquaza,Air Lock,No,1,"Negates all effects of weather, but does not prevent the weather itself."
jirachi,Serene Grace,No,1,Doubles the chance of moves' extra effects occurring.
deoxys-normal,Pressure,No,1,Increases the PP cost of moves targetting the Pokémon by one.
turtwig,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
turtwig,Shell Armor,Yes,3,Protects against critical hits.
grotle,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
grotle,Shell Armor,Yes,3,Protects against critical hits.
torterra,Overgrow,No,1,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
torterra,Shell Armor,Yes,3,Protects against critical hits.
chimchar,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
chimchar,Iron Fist,Yes,3,Strengthens punch-based moves to 1.2× their power.
monferno,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
monferno,Iron Fist,Yes,3,Strengthens punch-based moves to 1.2× their power.
infernape,Blaze,No,1,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.
infernape,Iron Fist,Yes,3,Strengthens punch-based moves to 1.2× their power.
piplup,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
piplup,Competitive,Yes,3,Raises Special Attack by two stages upon having any stat lowered.
prinplup,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
prinplup,Competitive,Yes,3,Raises Special Attack by two stages upon having any stat lowered.
empoleon,Torrent,No,1,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.
empoleon,Competitive,Yes,3,Raises Special Attack by two stages upon having any stat lowered.
starly,Keen Eye,No,1,Prevents accuracy from being lowered.
starly,Reckless,Yes,3,Strengthens recoil moves to 1.2× their power.
staravia,Intimidate,No,1,Lowers opponents' Attack one stage upon entering battle.
staravia,Reckless,Yes,3,Strengthens recoil moves to 1.2× their power.
staraptor,Intimidate,No,1,Lowers opponents' Attack one stage upon entering battle.
staraptor,Reckless,Yes,3,Strengthens recoil moves to 1.2× their power.
bidoof,Simple,No,1,Doubles the Pokémon's stat modifiers.  These doubled modifiers are still capped at -6 or 6 stages.
bidoof,Unaware,No,2,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
bidoof,Moody,Yes,3,Raises a random stat two stages and lowers another one stage after each turn.
bibarel,Simple,No,1,Doubles the Pokémon's stat modifiers.  These doubled modifiers are still capped at -6 or 6 stages.
bibarel,Unaware,No,2,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
bibarel,Moody,Yes,3,Raises a random stat two stages and lowers another one stage after each turn.
kricketot,Shed Skin,No,1,Has a 33% chance of curing any major status ailment after each turn.
kricketot,Run Away,Yes,3,Ensures success fleeing from wild battles.
kricketune,Swarm,No,1,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.
kricketune,Technician,Yes,3,Strengthens moves of 60 base power or less to 1.5× their power.
shinx,Rivalry,No,1,"Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
shinx,Intimidate,No,2,Lowers opponents' Attack one stage upon entering battle.
shinx,Guts,Yes,3,Increases Attack to 1.5× with a major status ailment.
luxio,Rivalry,No,1,"Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
luxio,Intimidate,No,2,Lowers opponents' Attack one stage upon entering battle.
luxio,Guts,Yes,3,Increases Attack to 1.5× with a major status ailment.
luxray,Rivalry,No,1,"Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
luxray,Intimidate,No,2,Lowers opponents' Attack one stage upon entering battle.
luxray,Guts,Yes,3,Increases Attack to 1.5× with a major status ailment.
budew,Natural Cure,No,1,Cures any major status ailment upon switching out.
budew,Poison Point,No,2,Has a 30% chance of poisoning attacking Pokémon on contact.
budew,Leaf Guard,Yes,3,Protects against major status ailments during strong sunlight.
roserade,Natural Cure,No,1,Cures any major status ailment upon switching out.
roserade,Poison Point,No,2,Has a 30% chance of poisoning attacking Pokémon on contact.
roserade,Technician,Yes,3,Strengthens moves of 60 base power or less to 1.5× their power.
cranidos,Mold Breaker,No,1,Bypasses targets' abilities if they could hinder or prevent a move.
cranidos,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
rampardos,Mold Breaker,No,1,Bypasses targets' abilities if they could hinder or prevent a move.
rampardos,Sheer Force,Yes,3,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
shieldon,Sturdy,No,1,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
shieldon,Soundproof,Yes,3,Protects against sound-based moves.
bastiodon,Sturdy,No,1,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
bastiodon,Soundproof,Yes,3,Protects against sound-based moves.
burmy,Shed Skin,No,1,Has a 33% chance of curing any major status ailment after each turn.
burmy,Overcoat,Yes,3,Protects against damage from weather.
wormadam-plant,Anticipation,No,1,"Notifies all trainers upon entering battle if an opponent has a super-effective move, self destruct, explosion, or a one-hit KO move."
wormadam-plant,Overcoat,Yes,3,Protects against damage from weather.
mothim,Swarm,No,1,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.
mothim,Tinted Lens,Yes,3,Doubles damage inflicted with not-very-effective moves.
combee,Honey Gather,No,1,The Pokémon may pick up honey after battle.
combee,Hustle,Yes,3,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
vespiquen,Pressure,No,1,Increases the PP cost of moves targetting the Pokémon by one.
vespiquen,Unnerve,Yes,3,Prevents opposing Pokémon from eating held Berries.
pachirisu,Run Away,No,1,Ensures success fleeing from wild battles.
pachirisu,Pickup,No,2,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
pachirisu,Volt Absorb,Yes,3,"Absorbs electric moves, healing for 1/4 max HP."
buizel,Swift Swim,No,1,Doubles Speed during rain.
buizel,Water Veil,Yes,3,Prevents burns.
floatzel,Swift Swim,No,1,Doubles Speed during rain.
floatzel,Water Veil,Yes,3,Prevents burns.
cherubi,Chlorophyll,No,1,Doubles Speed during strong sunlight.
cherrim,Flower Gift,No,1,Increases friendly Pokémon's Attack and Special Defense to 1.5× during strong sunlight.
shellos,Sticky Hold,No,1,Prevents a held item from being removed by other Pokémon.
shellos,Storm Drain,No,2,"Redirects single-target water moves to this Pokémon where possible.  Absorbs Water moves, raising Special Attack one stage."
shellos,Sand Force,Yes,3,"Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
gastrodon,Sticky Hold,No,1,Prevents a held item from being removed by other Pokémon.
gastrodon,Storm Drain,No,2,"Redirects single-target water moves to this Pokémon where possible.  Absorbs Water moves, raising Special Attack one stage."
gastrodon,Sand Force,Yes,3,"Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
ambipom,Technician,No,1,Strengthens moves of 60 base power or less to 1.5× their power.
ambipom,Pickup,No,2,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
ambipom,Skill Link,Yes,3,Extends two-to-five-hit moves and triple kick to their full length every time.
drifloon,Aftermath,No,1,Damages the attacker for 1/4 its max HP when knocked out by a contact move.
drifloon,Unburden,No,2,Doubles Speed upon using or losing a held item.
drifloon,Flare Boost,Yes,3,Increases Special Attack to 1.5× when burned.
drifblim,Aftermath,No,1,Damages the attacker for 1/4 its max HP when knocked out by a contact move.
drifblim,Unburden,No,2,Doubles Speed upon using or losing a held item.
drifblim,Flare Boost,Yes,3,Increases Special Attack to 1.5× when burned.
buneary,Run Away,No,1,Ensures success fleeing from wild battles.
buneary,Klutz,No,2,Prevents the Pokémon from using its held item in battle.
buneary,Limber,Yes,3,Prevents paralysis.
lopunny,Cute Charm,No,1,Has a 30% chance of infatuating attacking Pokémon on contact.
lopunny,Klutz,No,2,Prevents the Pokémon from using its held item in battle.
lopunny,Limber,Yes,3,Prevents paralysis.
mismagius,Levitate,No,1,Evades ground moves.
honchkrow,Insomnia,No,1,Prevents sleep.
honchkrow,Super Luck,No,2,Raises moves' critical hit rates one stage.
honchkrow,Moxie,Yes,3,Raises Attack one stage upon KOing a Pokémon.
glameow,Limber,No,1,Prevents paralysis.
glameow,Own Tempo,No,2,Prevents confusion.
glameow,Keen Eye,Yes,3,Prevents accuracy from being lowered.
purugly,Thick Fat,No,1,Halves damage from fire and ice moves.
purugly,Own Tempo,No,2,Prevents confusion.
purugly,Defiant,Yes,3,Raises Attack two stages upon having any stat lowered.
chingling,Levitate,No,1,Evades ground moves.
stunky,Stench,No,1,Has a 10% chance of making target Pokémon flinch with each hit.
stunky,Aftermath,No,2,Damages the attacker for 1/4 its max HP when knocked out by a contact move.
stunky,Keen Eye,Yes,3,Prevents accuracy from being lowered.
skuntank,Stench,No,1,Has a 10% chance of making target Pokémon flinch with each hit.
skuntank,Aftermath,No,2,Damages the attacker for 1/4 its max HP when knocked out by a contact move.
skuntank,Keen Eye,Yes,3,Prevents accuracy from being lowered.
bronzor,Levitate,No,1,Evades ground moves.
bronzor,Heatproof,No,2,Halves damage from fire moves and burns.
bronzor,Heavy Metal,Yes,3,Doubles the Pokémon's weight.
bronzong,Levitate,No,1,Evades ground moves.
bronzong,Heatproof,No,2,Halves damage from fire moves and burns.
bronzong,Heavy Metal,Yes,3,Doubles the Pokémon's weight.
bonsly,Sturdy,No,1,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
bonsly,Rock Head,No,2,Protects against recoil damage.
bonsly,Rattled,Yes,3,"Raises Speed one stage upon being hit by a dark, ghost, or bug move."
mime-jr,Soundproof,No,1,Protects against sound-based moves.
mime-jr,Filter,No,2,Decreases damage taken from super-effective moves by 1/4.
mime-jr,Technician,Yes,3,Strengthens moves of 60 base power or less to 1.5× their power.
happiny,Natural Cure,No,1,Cures any major status ailment upon switching out.
happiny,Serene Grace,No,2,Doubles the chance of moves' extra effects occurring.
happiny,Friend Guard,Yes,3,Decreases all direct damage taken by friendly Pokémon to 0.75×.
chatot,Keen Eye,No,1,Prevents accuracy from being lowered.
chatot,Tangled Feet,No,2,Doubles evasion when confused.
chatot,Big Pecks,Yes,3,Protects against Defense drops.
spiritomb,Pressure,No,1,Increases the PP cost of moves targetting the Pokémon by one.
spiritomb,Infiltrator,Yes,3,"Bypasses light screen, reflect, and safeguard."
gible,Sand Veil,No,1,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
gible,Rough Skin,Yes,3,Damages attacking Pokémon for 1/8 their max HP on contact.
gabite,Sand Veil,No,1,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
gabite,Rough Skin,Yes,3,Damages attacking Pokémon for 1/8 their max HP on contact.
garchomp,Sand Veil,No,1,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
garchomp,Rough Skin,Yes,3,Damages attacking Pokémon for 1/8 their max HP on contact.
munchlax,Pickup,No,1,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
munchlax,Thick Fat,No,2,Halves damage from fire and ice moves.
munchlax,Gluttony,Yes,3,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
riolu,Steadfast,No,1,Raises Speed one stage upon flinching.
riolu,Inner Focus,No,2,Prevents flinching.
riolu,Prankster,Yes,3,Raises non-damaging moves' priority by one stage.
lucario,Steadfast,No,1,Raises Speed one stage upon flinching.
lucario,Inner Focus,No,2,Prevents flinching.
lucario,Justified,Yes,3,Raises Attack one stage upon taking damage from a dark move.
hippopotas,Sand Stream,No,1,Summons a sandstorm that lasts indefinitely upon entering battle.
hippopotas,Sand Force,Yes,3,"Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
hippowdon,Sand Stream,No,1,Summons a sandstorm that lasts indefinitely upon entering battle.
hippowdon,Sand Force,Yes,3,"Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
skorupi,Battle Armor,No,1,Protects against critical hits.
skorupi,Sniper,No,2,Strengthens critical hits to inflict 3× damage rather than 2×.
skorupi,Keen Eye,Yes,3,Prevents accuracy from being lowered.
drapion,Battle Armor,No,1,Protects against critical hits.
drapion,Sniper,No,2,Strengthens critical hits to inflict 3× damage rather than 2×.
drapion,Keen Eye,Yes,3,Prevents accuracy from being lowered.
croagunk,Anticipation,No,1,"Notifies all trainers upon entering battle if an opponent has a super-effective move, self destruct, explosion, or a one-hit KO move."
croagunk,Dry Skin,No,2,"Causes 1/8 max HP in damage each turn during strong sunlight, but heals for 1/8 max HP during rain.  Increases damage from fire moves to 1.25×, but absorbs water moves, healing for 1/4 max HP."
croagunk,Poison Touch,Yes,3,Has a 30% chance of poisoning target Pokémon upon contact.
toxicroak,Anticipation,No,1,"Notifies all trainers upon entering battle if an opponent has a super-effective move, self destruct, explosion, or a one-hit KO move."
